symbol,timestamp,interval,open,high,low,close,volume
AAPL,2025-11-03T11:47:48.162956,tick,271.04,271.04,271.04,271.04,1.0
AAPL,2025-11-03T11:47:48.163040,tick,271.07,271.07,271.07,271.07,5.0
AAPL,2025-11-03T11:47:48.163304,tick,271.04,271.04,271.04,271.04,8.0
AAPL,2025-11-03T11:47:48.166280,tick,271.04,271.04,271.04,271.04,15.0
AAPL,2025-11-03T11:47:48.166307,tick,271.04,271.04,271.04,271.04,1.0
AAPL,2025-11-03T11:47:48.166380,tick,271.04,271.04,271.04,271.04,2.0
AAPL,2025-11-03T11:47:48.166400,tick,271.04,271.04,271.04,271.04,8.0
AAPL,2025-11-03T11:47:48.166402,tick,271.04,271.04,271.04,271.04,47.0
AAPL,2025-11-03T11:47:48.166405,tick,271.05,271.05,271.05,271.05,8.0
AAPL,2025-11-03T11:47:48.166410,tick,271.19,271.19,271.19,271.19,23.0
AAPL,2025-11-03T11:47:48.166445,tick,271.22,271.22,271.22,271.22,5.0
AAPL,2025-11-03T11:47:48.166683,tick,271.13,271.13,271.13,271.13,3.0
AAPL,2025-11-03T11:47:55.599084,tick,271.11,271.11,271.11,271.11,1.0
AAPL,2025-11-03T11:48:24.284117,tick,271.04,271.04,271.04,271.04,2.0
AAPL,2025-11-03T11:48:32.620092,tick,271.04,271.04,271.04,271.04,30.0
AAPL,2025-11-03T11:48:56.856104,tick,271.0,271.0,271.0,271.0,1.0
AAPL,2025-11-03T11:48:56.856162,tick,271.0,271.0,271.0,271.0,6.0
AAPL,2025-11-03T11:49:34.748585,tick,270.94,270.94,270.94,270.94,1.0
AAPL,2025-11-03T11:49:34.748586,tick,270.92,270.92,270.92,270.92,2.0
AAPL,2025-11-03T11:49:34.786941,tick,270.96,270.96,270.96,270.96,1.0
AAPL,2025-11-03T11:49:37.914634,tick,271.0,271.0,271.0,271.0,1.0
AAPL,2025-11-03T11:49:48.081091,tick,270.93,270.93,270.93,270.93,1.0
AAPL,2025-11-03T11:49:48.118569,tick,270.95,270.95,270.95,270.95,1.0
AAPL,2025-11-03T11:49:48.798640,tick,270.93,270.93,270.93,270.93,1.0
AAPL,2025-11-03T11:49:48.837678,tick,270.95,270.95,270.95,270.95,1.0
AAPL,2025-11-03T11:50:26.590070,tick,271.04,271.04,271.04,271.04,1.0
AAPL,2025-11-03T11:50:28.984666,tick,271.02,271.02,271.02,271.02,2.0
AAPL,2025-11-03T11:50:28.989481,tick,271.01,271.01,271.01,271.01,88.0
AAPL,2025-11-03T11:50:28.989547,tick,271.01,271.01,271.01,271.01,2.0
